SF,Bandwidth_kHz,Coding_Rate,Bitrate_bps,App_Payload_Bytes,LoRaWAN_Overhead_Bytes,Total_OnAir_Bytes,TX_Power_dBm,Voltage_V,Current_mA,Power_mW,Airtime_ms,Energy_per_TX_mJ,Energy_per_TX_J,Legal_US915
7,125,4/5,5468.8,11,13,24,14,3.3,26.0,85.8,58.62,5.03,0.00503,True
7,125,4/5,5468.8,51,13,64,14,3.3,26.0,85.8,120.06,10.3,0.010301,True
7,125,4/5,5468.8,115,13,128,14,3.3,26.0,85.8,212.22,18.21,0.018209,True
7,125,4/5,5468.8,222,13,235,14,3.3,26.0,85.8,365.82,31.39,0.031388,True
8,125,4/5,3125.0,11,13,24,14,3.3,26.0,85.8,107.01,9.18,0.009181,True
8,125,4/5,3125.0,51,13,64,14,3.3,26.0,85.8,209.41,17.97,0.017967,True
8,125,4/5,3125.0,115,13,128,14,3.3,26.0,85.8,373.25,32.02,0.032025,True
8,125,4/5,3125.0,222,13,235,14,3.3,26.0,85.8,649.73,55.75,0.055747,False
9,125,4/5,1757.8,11,13,24,14,3.3,26.0,85.8,193.54,16.61,0.016605,True
9,125,4/5,1757.8,51,13,64,14,3.3,26.0,85.8,377.86,32.42,0.03242,True
9,125,4/5,1757.8,115,13,128,14,3.3,26.0,85.8,685.06,58.78,0.058778,False
9,125,4/5,1757.8,222,13,235,14,3.3,26.0,85.8,1156.1,99.19,0.099193,False
10,125,4/5,976.6,11,13,24,14,3.3,26.0,85.8,387.07,33.21,0.033211,True
10,125,4/5,976.6,51,13,64,14,3.3,26.0,85.8,714.75,61.33,0.061326,False
10,125,4/5,976.6,115,13,128,14,3.3,26.0,85.8,1247.23,107.01,0.107013,False
10,125,4/5,976.6,222,13,235,14,3.3,26.0,85.8,2107.39,180.81,0.180814,False
11,125,4/5,537.1,11,13,24,14,3.3,26.0,85.8,774.14,66.42,0.066422,False
11,125,4/5,537.1,51,13,64,14,3.3,26.0,85.8,1511.42,129.68,0.12968,False
11,125,4/5,537.1,115,13,128,14,3.3,26.0,85.8,2658.3,228.08,0.228082,False
11,125,4/5,537.1,222,13,235,14,3.3,26.0,85.8,4624.38,396.77,0.396772,False
12,125,4/5,293.0,11,13,24,14,3.3,26.0,85.8,1548.29,132.84,0.132843,False
12,125,4/5,293.0,51,13,64,14,3.3,26.0,85.8,2859.01,245.3,0.245303,False
12,125,4/5,293.0,115,13,128,14,3.3,26.0,85.8,4825.09,413.99,0.413993,False
12,125,4/5,293.0,222,13,235,14,3.3,26.0,85.8,8429.57,723.26,0.723257,False
