Vbat_V,SolarV_V,SolarI_mA,BattV_V,BattI_mA,SolarP_mW,BattP_mW,Efficiency
5.5,0.1,39.0,5.5,4.6,3.9,25.30,6.487179
5.5,0.2,68.0,5.5,3.7,13.6,20.35,1.496324
5.5,0.3,87.0,5.5,2.3,26.1,12.65,0.484674
5.5,0.4,132.0,5.5,0.2,52.8,1.10,0.020833
5.5,0.5,134.0,5.5,2.4,67.0,13.20,0.197015
5.5,0.6,134.0,5.5,4.7,80.4,25.85,0.321144
5.5,0.7,133.0,5.5,6.9,93.1,37.95,0.407384
5.5,0.8,131.0,5.5,9.1,104.8,50.05,0.477100
5.5,0.9,131.0,5.5,11.0,117.9,60.50,0.513142
5.5,1.0,131.0,5.5,13.1,131.0,72.05,0.550000
5.5,1.1,130.0,5.5,15.5,143.0,85.25,0.596503
5.5,1.2,130.0,5.5,17.7,156.0,97.35,0.623077
5.0,0.1,39.0,5.0,2.49,3.9,12.45,3.192308
5.0,0.2,60.0,5.0,1.59,12.0,7.95,0.662500
5.0,0.3,87.0,5.0,0.10,26.1,0.50,0.019157
5.0,0.4,130.0,5.0,2.7,52.0,13.50,0.259615
5.0,0.5,130.0,5.0,5.0,65.0,25.00,0.384615
5.0,0.6,132.0,5.0,7.6,79.2,38.00,0.480808
5.0,0.7,130.0,5.0,9.9,91.0,49.50,0.544505
5.0,0.8,129.0,5.0,12.2,103.2,61.00,0.591473
5.0,0.9,129.0,5.0,14.6,116.1,73.00,0.628828
5.0,1.0,129.0,5.0,17.0,129.0,85.00,0.658915
5.0,1.1,129.0,5.0,19.3,141.9,96.50,0.680070
5.0,1.2,128.0,5.0,21.6,153.6,108.00,0.702344
4.5,0.1,38.0,4.5,1.17,3.8,5.27,1.386842
4.5,0.2,52.0,4.5,0.20,10.4,0.90,0.086538
4.5,0.3,86.0,4.5,1.65,25.8,7.43,0.288759
4.5,0.4,138.0,4.5,4.65,55.2,20.93,0.379529
4.5,0.5,134.0,4.5,7.35,67.0,33.08,0.493731
4.5,0.6,132.0,4.5,9.95,79.2,44.78,0.565404
4.5,0.7,131.0,4.5,12.5,91.7,56.25,0.613625
4.5,0.8,130.0,4.5,15.1,104.0,67.95,0.653365
4.5,0.9,129.0,4.5,17.6,116.1,79.20,0.682257
4.5,1.0,129.0,4.5,20.2,129.0,90.90,0.704651
4.5,1.1,128.0,4.5,22.8,140.8,102.60,0.728693
4.5,1.2,128.0,4.5,25.4,153.6,114.30,0.743922
4.0,0.1,36.0,4.0,0.4,3.6,1.60,0.444444
4.0,0.2,49.0,4.0,0.5,9.8,2.00,0.204082
4.0,0.3,75.0,4.0,2.6,22.5,10.40,0.462222
4.0,0.4,134.0,4.0,5.9,53.6,23.60,0.440299
4.0,0.5,130.0,4.0,8.8,65.0,35.20,0.541538
4.0,0.6,128.0,4.0,11.5,76.8,46.00,0.598958
4.0,0.7,126.0,4.0,14.2,88.2,56.80,0.643878
4.0,0.8,125.0,4.0,17.1,100.0,68.40,0.684000
4.0,0.9,125.0,4.0,19.9,112.5,79.60,0.707556
4.0,1.0,124.0,4.0,22.6,124.0,90.40,0.729032
4.0,1.1,124.0,4.0,25.4,136.4,101.60,0.744737
4.0,1.2,124.0,4.0,28.1,148.8,112.40,0.755376
3.5,0.1,35.5,3.5,0.02,3.55,0.07,0.019718
3.5,0.2,53.0,3.5,1.1,10.6,3.85,0.363208
3.5,0.3,82.0,3.5,3.4,24.6,11.90,0.483740
3.5,0.4,133.0,3.5,6.9,53.2,24.15,0.454699
3.5,0.5,128.0,3.5,10.1,64.0,35.35,0.552344
3.5,0.6,125.0,3.5,13.1,75.0,45.85,0.611333
3.5,0.7,124.0,3.5,16.2,86.8,56.70,0.652070
3.5,0.8,123.0,3.5,19.2,98.4,67.20,0.682927
3.5,0.9,122.0,3.5,22.2,109.8,77.70,0.707650
3.5,1.0,122.0,3.5,25.3,122.0,88.55,0.725820
3.5,1.1,121.0,3.5,28.4,133.1,99.40,0.746807
3.5,1.2,121.0,3.5,31.5,145.2,110.25,0.759298
